month,district_id,type_group,dtp_count,dead_total,injured_total,children_dead,children_injured,avg_risk_score
1,62,Наезд на стоящее ТС,2,0,2,0,0,0.03791674864589887
1,62,Столкновение,21,0,31,0,1,0.019015293076046182
1,63,Наезд на велосипедиста,1,0,1,0,0,0.04457863289985213
1,63,Наезд на пешехода,7,0,7,0,1,0.03372650798149426
1,63,Наезд на препятствие,2,0,3,0,1,0.0029871632345322896
1,63,Падение пассажира,1,0,1,0,0,0.015765364484532383
1,63,Столкновение,3,0,3,0,0,0.003519624410106543
1,64,Наезд на пешехода,4,1,5,0,0,0.07756127668954958
1,64,Наезд на препятствие,2,0,2,0,0,0.002618907675194532
1,64,Наезд на стоящее ТС,2,0,2,0,0,0.019436957520343846
1,64,Столкновение,8,0,8,0,0,0.025908426603221135
1,65,Наезд на пешехода,12,0,12,0,3,0.04018369562561266
1,65,Наезд на препятствие,1,0,1,0,0,0.004436734740493017
1,65,Наезд на стоящее ТС,1,0,3,0,0,0.003350010675358574
1,65,Падение пассажира,1,0,1,0,0,0.053854329218814896
1,65,Столкновение,8,0,15,0,2,0.01376845585430157
1,66,Наезд на пешехода,6,0,6,0,0,0.038585432197232254
1,66,Наезд на препятствие,4,0,4,0,0,0.02207548769015325
1,66,Наезд на стоящее ТС,7,1,8,0,0,0.03689377131252829
1,66,Падение пассажира,1,0,1,0,0,0.05388686749418935
1,66,Столкновение,18,0,21,0,3,0.01918989935046856
1,68,Наезд на велосипедиста,1,0,1,0,0,0.05426072274473657
1,68,Наезд на пешехода,6,0,6,0,0,0.033806304303240824
1,68,Наезд на препятствие,1,0,2,0,0,0.006327620679168636
1,68,Столкновение,13,0,16,0,1,0.03137529231133713
1,69,Наезд на пешехода,8,0,8,0,0,0.017667819741880583
1,69,Наезд на препятствие,2,0,3,0,0,0.006080517225055861
1,69,Падение пассажира,2,0,2,0,0,0.009376401569850928
1,69,Столкновение,10,1,10,0,1,0.016390340947302275
1,70,Наезд на пешехода,7,2,7,0,2,0.01037919956308336
1,70,Наезд на препятствие,4,0,5,0,0,0.049094423772354276
1,70,Наезд на стоящее ТС,2,0,2,0,0,0.00979107295893147
1,70,Падение пассажира,1,0,1,0,0,0.02704673374441205
1,70,Столкновение,21,0,22,0,0,0.03729457859309798
1,71,Наезд на велосипедиста,1,0,1,0,0,0.06467326530752188
1,71,Наезд на пешехода,4,0,4,0,0,0.022685512988325416
1,71,Наезд на препятствие,1,0,1,0,0,0.004058557552757893
1,71,Наезд на стоящее ТС,1,0,1,0,0,0.06312885586596038
1,71,Падение пассажира,2,0,2,0,0,0.009376401569850928
1,71,Столкновение,14,0,23,0,2,0.03545045243249265
1,72,Наезд на пешехода,3,0,3,0,1,0.014342343943015206
1,72,Падение пассажира,3,0,3,0,0,0.030907388386090997
1,72,Столкновение,19,0,20,0,2,0.010722813114565608
1,73,Наезд на велосипедиста,1,0,1,0,0,0.023646276498112944
1,73,Наезд на пешехода,15,0,15,0,2,0.02265458795844721
1,73,Столкновение,4,1,10,0,0,0.017163598120991816
1,74,Наезд на пешехода,9,1,9,0,4,0.03066483186808734
1,74,Наезд на препятствие,1,0,2,0,0,0.0016734647058567224
1,74,Наезд на стоящее ТС,2,1,3,0,1,0.07248484642571827
1,74,Падение пассажира,1,0,1,0,0,0.06200091952674516
1,74,Столкновение,10,1,14,0,1,0.027118746868752597
1,75,Наезд на пешехода,9,0,9,0,0,0.01939642138108541
1,75,Наезд на препятствие,2,0,2,0,0,0.023136568217304188
1,75,Наезд на стоящее ТС,2,0,3,0,0,0.086116003360764
1,75,Падение пассажира,2,0,2,0,0,0.039794479886361034
1,75,Столкновение,12,0,13,0,0,0.028979485543333714
1,76,Столкновение,4,0,5,0,2,0.045198995063205544
1,77,Наезд на велосипедиста,2,0,2,0,0,0.025598759030805628
1,77,Наезд на пешехода,2,0,2,0,0,0.008634790217707501
1,77,Столкновение,6,0,7,0,0,0.020188985167452937
1,78,Наезд на пешехода,1,1,0,0,0,0.002050122304762081
1,80,Наезд на пешехода,3,0,5,0,1,0.07744798382963769
1,80,Наезд на препятствие,3,0,3,0,0,0.03805949009566201
1,80,Наезд на стоящее ТС,1,0,1,0,0,0.005815090102978117
1,80,Столкновение,7,2,10,0,2,0.034608539646991864
1,81,Столкновение,2,0,4,0,0,0.05303571400534347
1,82,Наезд на пешехода,3,0,3,0,0,0.02356209542479683
1,82,Наезд на препятствие,1,0,1,0,0,0.009353038181049628
1,82,Падение пассажира,2,0,2,0,1,0.0257137635701314
1,82,Столкновение,6,0,6,0,0,0.030471593050321433
1,83,Наезд на велосипедиста,1,0,1,0,0,0.06253078615247894
1,83,Наезд на пешехода,2,0,2,0,0,0.007649721247411806
1,83,Наезд на препятствие,3,0,3,0,0,0.11845516282423703
1,83,Наезд на стоящее ТС,1,0,2,0,0,0.009859009447574051
1,83,Падение пассажира,1,0,1,0,0,0.011267287508526548
1,83,Столкновение,13,1,17,0,2,0.06147393176378509
1,84,Наезд на пешехода,16,0,16,0,0,0.023693395560863088
1,84,Падение пассажира,4,0,4,0,0,0.02366387644764461
1,84,Столкновение,10,0,12,0,0,0.016011123900654633
1,85,Наезд на пешехода,10,0,10,0,1,0.04406581185283444
1,85,Наезд на препятствие,3,0,4,0,0,0.0052538094114720395
1,85,Наезд на стоящее ТС,3,0,3,0,0,0.03241273996941604
1,85,Столкновение,14,0,14,0,0,0.01831870462280983
1,86,Наезд на пешехода,4,0,4,0,0,0.028354839009388295
1,86,Столкновение,5,0,5,0,0,0.02209002605962472
1,87,Наезд на пешехода,14,0,15,0,0,0.030095460887976207
1,87,Наезд на стоящее ТС,1,0,1,0,0,0.03353240814108591
1,87,Столкновение,12,0,13,0,0,0.015514816708803288
1,88,Наезд на пешехода,12,0,12,0,3,0.025712035781334925
1,88,Наезд на препятствие,2,0,2,0,0,0.05493844171420777
1,88,Наезд на стоящее ТС,1,0,1,0,0,0.006491457897729993
1,88,Опрокидывание,1,0,1,0,0,0.007193445465463216
1,88,Падение пассажира,1,0,1,0,0,0.012365262899121569
1,88,Столкновение,11,1,14,0,0,0.03216833410001882
1,89,Наезд на пешехода,2,0,3,0,0,0.03718309587271869
1,89,Наезд на препятствие,1,0,1,0,0,0.0031861734567972177
1,89,Наезд на стоящее ТС,1,0,2,0,0,0.007327798853918612
1,89,Падение пассажира,1,0,1,0,1,0.06620563886668272
