dtp_id,type_group,severity,dead_count,injured_count,risk_score,has_speed_violation,has_priority_violation,has_alcohol_violation,has_pedestrian_viol,has_distance_viol,has_maneuver_viol,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,has_carsharing,is_night_dtp,is_weekend,is_rush_hour,has_traffic_light,has_crosswalk,has_camera,is_intersection
414446427,Наезд на пешехода,0,0,1,0.00897334140448474,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414834627,Наезд на пешехода,0,0,1,0.002050122304762081,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414835027,Наезд на препятствие,0,0,1,0.0020516418935918467,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414901227,Наезд на пешехода,0,0,1,0.008216987029014492,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414903227,Столкновение,0,0,1,0.006545041911987535,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414907627,Столкновение,0,0,1,0.0069232190997226585,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414909627,Столкновение,0,0,1,0.005788687536517286,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414915027,Наезд на пешехода,0,0,1,0.010370020434934808,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
415044427,Столкновение,0,0,1,0.003519624410106543,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
415084827,Столкновение,0,0,1,0.006166864724252411,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
