cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.69_37.67,2020-01-08 15:00:00,0.15,-4.544072,none,0.0,6.0,16.055355,31.319998,88.33826,1005.8477,
55.69_37.72,2020-01-21 20:00:00,2.65,-3.311593,rain,1.1,3.0,28.266306,46.44,93.790985,984.43823,
55.69_37.74,2020-01-15 19:00:00,2.15,-4.7519937,none,0.0,9.0,32.59939,52.56,84.752655,1001.16187,
55.69_37.75,2020-01-03 19:00:00,-0.3,-5.678259,none,0.0,4.0,20.746122,35.64,91.27044,992.66174,
55.69_37.85,2020-01-23 16:00:00,-4.4,-11.371977,none,0.0,2.0,24.063513,47.16,51.324116,990.8664,
55.6_37.32,2020-01-13 19:00:00,0.7,-3.863824,none,0.0,10.0,16.09969,32.399998,91.00675,990.13776,
55.6_37.35,2020-01-21 07:00:00,0.85,-4.731245,snow,0.1,4.0,22.380884,44.639996,85.53814,987.9426,
55.6_37.47,2020-01-05 14:00:00,0.75,-4.303049,none,0.0,5.0,16.56,32.399998,71.861496,986.6381,
55.6_37.47,2020-01-16 16:00:00,2.5,-2.7187152,none,0.0,5.0,21.9718,41.399998,87.911995,992.5267,
55.6_37.64,2020-01-10 17:00:00,0.2,-3.8169665,none,0.0,6.0,11.269782,19.44,87.053925,991.82623,
55.6_37.67,2020-01-02 09:00:00,-0.2,-5.6006002,snow,0.3,4.0,20.291357,36.36,86.374016,989.9184,
55.6_37.75,2020-01-14 09:00:00,-1.65,-5.6158323,none,0.0,9.0,9.693296,16.56,90.16584,995.2675,
55.71_37.39,2020-01-02 02:00:00,-0.9,-5.788668,none,0.0,5.0,15.596767,29.88,82.22189,992.8962,
55.71_37.46,2020-01-20 07:00:00,1.55,-3.7073917,none,0.0,2.0,20.907913,38.88,85.92735,1005.6729,
55.71_37.51,2020-01-17 19:00:00,1.45,-2.6894634,none,0.0,2.0,14.404499,24.48,93.73172,1004.1447,
55.71_37.53,2020-01-23 07:00:00,-3.9,-10.794076,snow,0.1,2.0,26.121714,52.92,73.16436,980.44666,
55.71_37.58,2020-01-15 20:00:00,1.75,-5.2095265,none,0.0,8.0,32.83705,57.96,86.26179,998.83545,
55.71_37.59,2020-01-10 17:00:00,0.2,-4.0286303,none,0.0,7.0,12.768586,22.319998,87.37456,996.3531,
55.71_37.59,2020-01-15 21:00:00,1.7,-5.0986443,none,0.0,8.0,31.682043,57.96,86.25656,998.9558,
55.71_37.59,2020-01-18 10:00:00,-0.85,-5.3397417,none,0.0,3.0,14.182355,26.64,91.56959,1007.3411,
55.71_37.62,2020-01-03 06:00:00,1.45,-3.1793609,none,0.0,5.0,17.654688,29.16,93.05722,995.1738,
55.71_37.64,2020-01-04 21:00:00,0.35,-4.5659504,none,0.0,6.0,17.673029,30.239998,87.71049,982.6624,
55.71_37.65,2020-01-16 17:00:00,2.7,-2.6933398,none,0.0,6.0,23.224882,39.239998,86.985565,1000.5121,
55.71_37.65,2020-01-23 08:00:00,-3.6,-10.629545,snow,0.1,2.0,27.238941,50.039997,73.222145,987.03577,
55.71_37.67,2020-01-02 18:00:00,1.25,-3.6902256,none,0.0,6.0,19.09358,30.960001,90.05941,992.62683,
55.71_37.67,2020-01-16 02:00:00,2.55,-3.6860442,rain,0.1,8.0,28.673721,46.44,86.0338,999.8555,
55.71_37.67,2020-01-18 19:00:00,-0.6,-5.6971073,none,0.0,4.0,19.107151,31.319998,95.36121,1006.7904,
55.71_37.69,2020-01-06 15:00:00,-1.4,-4.9800453,none,0.0,6.0,4.6938257,9.0,70.62223,1006.9934,
55.71_37.73,2020-01-09 17:00:00,1.45,-3.008888,none,0.0,8.0,16.215992,25.919998,91.38974,995.96295,
55.71_37.77,2020-01-03 21:00:00,-0.8,-6.315004,none,0.0,4.0,21.166653,36.719997,90.89999,989.3681,
55.71_37.79,2020-01-15 14:00:00,0.8,-5.4044366,snow,0.2,9.0,27.248455,49.68,89.69684,1001.0187,
55.71_37.8,2020-01-19 16:00:00,-0.2,-4.738257,none,0.0,3.0,13.237039,24.48,78.42644,1007.4849,
55.71_37.82,2020-01-10 19:00:00,0.3,-3.9881487,none,0.0,7.0,13.32,23.4,87.70574,996.6338,
55.71_37.86,2020-01-03 19:00:00,0.15,-4.9576063,none,0.0,4.0,19.083395,33.839996,89.644485,990.3887,
55.71_37.9,2020-01-01 16:00:00,-4.4,-9.646022,none,0.0,4.0,14.021525,29.88,68.37146,994.29254,
55.71_37.94,2020-01-17 21:00:00,1.6,-2.3134837,none,0.0,2.0,12.964998,24.48,93.40177,1008.3947,
55.72_37.17,2020-01-22 08:00:00,-0.3,-5.8174615,none,0.0,2.0,19.416653,38.16,75.24661,980.22784,
55.72_37.6,2020-01-22 19:00:00,-1.25,-6.836093,none,0.0,2.0,19.107151,30.599998,74.79341,976.971,
55.72_37.62,2020-01-09 07:00:00,-0.6,-6.716658,snow,0.4,7.0,24.66197,42.48,85.06108,993.37524,
55.72_37.62,2020-01-13 10:00:00,1.4,-3.7631104,none,0.0,10.0,20.991426,33.839996,91.38636,988.9738,
55.72_37.63,2020-01-13 17:00:00,1.45,-3.4159713,none,0.0,9.0,18.847641,32.399998,90.402016,993.96826,
55.72_37.66,2020-01-04 14:00:00,-0.9,-6.8444953,snow,0.2,5.0,23.090569,36.719997,84.08254,981.95135,
55.72_37.69,2020-01-19 15:00:00,-0.1,-4.7847366,none,0.0,4.0,14.241629,25.919998,77.859055,1008.80396,
55.72_37.71,2020-01-17 16:00:00,3.45,-0.58305097,none,0.0,4.0,14.404499,23.759998,85.20643,1008.66766,
55.72_37.72,2020-01-04 16:00:00,-1.0,-6.084674,snow,0.5,5.0,17.58481,36.0,87.58144,982.4613,
55.72_37.77,2020-01-23 10:00:00,-4.0,-10.22022,none,0.0,2.0,20.674156,43.199997,66.08859,986.2054,
55.72_37.78,2020-01-13 22:00:00,0.0,-4.6844616,none,0.0,9.0,16.327497,30.239998,91.62605,994.5004,
55.72_37.78,2020-01-18 21:00:00,-0.85,-5.6792927,none,0.0,3.0,16.418526,30.960001,90.89639,1005.1241,
55.72_37.79,2020-01-18 22:00:00,-0.85,-5.6792927,none,0.0,3.0,16.418526,30.960001,90.89639,1003.4919,
55.72_37.79,2020-01-21 19:00:00,2.7,-2.8586519,rain,1.0,2.0,25.562534,49.68,93.79343,981.6101,
55.72_37.8,2020-01-16 10:00:00,2.35,-3.1535246,none,0.0,6.0,23.979893,45.719997,89.17535,997.1565,
55.72_37.82,2020-01-09 12:00:00,0.55,-4.2770267,snow,0.2,8.0,17.208603,31.68,87.40857,992.1122,
55.72_37.82,2020-01-16 17:00:00,2.65,-2.4963102,none,0.0,5.0,21.53089,39.96,87.29469,998.6581,
55.72_37.84,2020-01-04 19:00:00,0.1,-4.859225,none,0.0,5.0,17.49615,32.760002,86.08762,981.0072,
55.72_37.9,2020-01-12 14:00:00,-1.5,-8.190932,none,0.0,10.0,26.987997,47.519997,78.515236,995.0927,
55.73_37.38,2020-01-16 20:00:00,3.25,-1.6369812,none,0.0,5.0,20.316889,39.6,86.72816,995.2327,
