dtp_id,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m,sunrise_ts,sunset_ts,daylight_minutes,is_twilight,is_dark,is_daylight,day_of_week,is_weekend,is_holiday,holiday_name,season,ice_risk,low_visibility_flag,bad_weather_flag,dark_without_lights_flag
415452427,-0.9,-6.8444953,snow,0.2,5.0,23.090569,36.719997,84.08254,981.95135,,2020-01-04 08:58:20.877526,2020-01-04 16:09:56.342164,431.5910773,0,0,1,5,1,1,Новогодние каникулы,winter,1,0,1,0
416480427,0.3,-4.668146,none,0.0,6.0,18.079027,33.12,88.3518,975.9319,,2020-01-04 08:58:05.912771,2020-01-04 16:10:32.681613,432.4461473666667,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414595427,-0.8,-6.557515,snow,0.3,5.0,21.980644,33.12,84.72267,978.1363,,2020-01-04 08:59:33.627338,2020-01-04 16:09:49.077815,430.25750795,0,0,1,5,1,1,Новогодние каникулы,winter,1,0,1,0
414380427,-4.4,-9.646022,none,0.0,4.0,14.021525,29.88,68.37146,994.29254,,2020-01-01 08:58:15.926610,2020-01-01 16:05:18.940442,427.0502305333333,0,1,0,2,0,1,Новогодние каникулы,winter,0,0,0,1
414799427,-1.15,-5.7289753,none,0.0,6.0,12.979984,23.4,80.060425,1004.09796,,2020-01-07 08:58:06.821939,2020-01-07 16:13:43.449129,435.6104531666667,0,0,1,1,0,1,Рождество Христово,winter,1,0,0,0
414834227,-0.55,-4.894613,none,0.0,5.0,13.049689,22.68,88.60134,1005.01166,,2020-01-07 08:55:54.540850,2020-01-07 16:14:56.551825,439.03351625,0,1,0,1,0,1,Рождество Христово,winter,1,0,0,1
414860427,0.0,-4.349216,snow,0.1,7.0,13.979872,25.919998,91.29106,1002.63745,,2020-01-08 08:56:53.506798,2020-01-08 16:15:07.184387,438.22795981666667,0,0,1,2,0,1,Новогодние каникулы,winter,1,0,0,0
414381827,-4.35,-9.669623,none,0.0,4.0,14.386494,30.960001,66.79077,992.2282,,2020-01-01 08:58:22.676150,2020-01-01 16:06:33.241623,428.17609121666663,0,1,0,2,0,1,Новогодние каникулы,winter,0,0,0,1
414956627,-2.55,-8.168719,none,0.0,5.0,16.80857,37.8,61.448215,992.59454,,2020-01-01 09:00:23.459582,2020-01-01 16:05:22.707836,424.98747089999995,0,0,1,2,0,1,Новогодние каникулы,winter,0,0,1,0
414406427,-0.55,-5.747608,snow,0.1,4.0,18.359999,34.56,84.751755,990.3238,,2020-01-02 08:57:57.508225,2020-01-02 16:09:12.176700,431.24447458333333,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414402627,-1.05,-6.1595726,none,0.0,4.0,16.862455,30.239998,81.28436,990.15753,,2020-01-02 08:58:26.599113,2020-01-02 16:08:29.382075,430.04638270000004,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414665027,0.75,-4.303049,none,0.0,5.0,16.56,32.399998,71.861496,986.6381,,2020-01-05 08:57:57.928132,2020-01-05 16:12:47.897570,434.8328239666667,0,0,1,6,1,1,Новогодние каникулы,winter,1,0,1,0
414666027,1.05,-3.251833,none,0.0,6.0,11.659777,30.960001,71.920395,994.2326,,2020-01-05 08:58:50.423073,2020-01-05 16:12:27.748021,433.6220824666667,0,0,1,6,1,1,Новогодние каникулы,winter,1,0,0,0
414402827,-1.05,-6.0485325,none,0.0,4.0,15.937878,28.08,80.07524,994.69696,,2020-01-02 08:58:02.891958,2020-01-02 16:08:16.348029,430.22426785,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414403027,-1.5,-6.6789975,none,0.0,4.0,16.854767,29.88,80.31015,991.0854,,2020-01-02 08:59:10.104722,2020-01-02 16:08:02.622063,428.87528901666667,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414404227,-0.9,-5.788668,none,0.0,5.0,15.596767,29.88,82.22189,992.8962,,2020-01-02 09:00:03.242472,2020-01-02 16:08:32.136895,428.4815737166667,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414438427,1.25,-3.6902256,none,0.0,6.0,19.09358,30.960001,90.05941,992.62683,,2020-01-02 08:58:56.088021,2020-01-02 16:07:26.020306,428.49887141666665,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414444627,1.3,-3.3102043,none,0.0,6.0,16.93531,29.88,90.39078,988.3553,,2020-01-02 09:00:44.030829,2020-01-02 16:07:22.512160,426.64135551666664,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414451427,1.25,-3.1056247,none,0.0,6.0,15.137133,31.319998,90.38703,990.1657,,2020-01-02 08:59:04.064136,2020-01-02 16:06:02.798381,426.9789040833333,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414451627,-0.5,-6.097665,snow,0.4,4.0,21.325253,38.16,86.023476,987.7228,,2020-01-02 08:58:18.901625,2020-01-02 16:08:30.357436,430.1909301833333,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414456627,-0.2,-5.6006002,snow,0.3,4.0,20.291357,36.36,86.374016,989.9184,,2020-01-02 08:58:16.086646,2020-01-02 16:08:05.298006,429.82018933333336,0,0,1,3,0,1,Новогодние каникулы,winter,1,0,1,0
414458427,0.4,-5.104698,snow,0.6,4.0,21.758419,38.519997,87.71523,988.11505,,2020-01-02 08:58:14.161785,2020-01-02 16:08:10.315556,429.93589618333334,0,0,1,3,0,1,Новогодние каникулы,winter,1,0,1,0
